id,层,类型,权重,前置,文本,选项,突变触发器,奖励
ev_daily_1,L1,日常,28,,%s 于坊市购得一本残破功法，翻阅后有所得,,
ev_daily_2,L1,日常,25,,%s 在膳堂与同门笑谈，心境舒缓,,
ev_daily_3,L1,秘境,18,,%s 于后山采得灵草数株，宗门库房微丰,,
ev_daily_4,L1,宗门,15,,宗门弟子比斗，%s 观战有所悟,,
ev_daily_5,L1,机缘,12,,%s 闭关数日，忽有所悟，修为大进,,悟道,
ev_daily_6,L1,机缘,8,,天降祥瑞，灵气如霞，全宗弟子修炼精进,,
ev_daily_7,L1,机缘,10,,%s 培植的灵药成熟，竟是一株百年难遇的上品,,
ev_daily_8,L1,日常,14,,有散修路过山门，感宗门气象，愿投入门下,,
ev_daily_9,L1,日常,16,,%s 与同门切磋技艺，互有印证，心境通明,,
ev_daily_10,L1,秘境,12,,%s 后山闲逛，偶得一株野生灵草，聊胜于无,,
ev_daily_11,L1,日常,10,,%s 坊市闲逛，淘得一件旧法器，竟是上古遗珍,,
ev_daily_12,L1,机缘,6,,祖师堂香火鼎盛，似有祖师显灵，全宗士气大振,,
ev_daily_13,L1,机缘,8,,丹堂丹炉异香满室，%s 开炉一看，竟是一炉上品丹药,,
ev_daily_14,L1,日常,14,,%s 值守山门，遇一游方道人，得授几句真言,,问道,
ev_daily_15,L1,日常,12,,%s 整理藏经阁旧书，发现前人批注，心有所感,,
ev_secret_1,L2,秘境,12,,秘境异动，%s 探得一处古修士洞府|是|探索寻宝;按兵不动|否|静观其变,,
ev_sect_1,L2,宗门,10,,边境魔修袭扰，%s 请战历练|是|历练赚战功;按兵不动|否|暂不妄动,,
ev_sect_2,L2,宗门,8,,丹堂灵草积压，%s 献策炼丹济众|是|炼丹供宗门;置之不理|否|留待后续,,
ev_sect_3,L2,宗门,6,,灵脉微澜，%s 察觉地火渐旺|是|加固灵脉;不以为意|否|顺其自然,,
ev_immortal_1,L2,仙人,4,,有游方道人过境，%s 得闻大道真言|是|问道感悟;错身而过|否|错失机缘,问道,
ev_immortal_2,L2,仙人,3,,有高人路过宗门，似与我宗有缘|是|诚心邀访;闭门不纳|否|错失高人,,
ev_secret_2,L2,秘境,5,,远处秘境灵光冲天，似有重宝出世|是|派人探索;按兵不动|否|静观其变,,
ev_sect_4,L2,宗门,5,,兽潮前兆，周边妖兽躁动不安|是|加紧防备;不以为意|否|顺其自然,,
ev_sect_5,L2,宗门,4,,有商队在附近被劫，向我宗求援|是|出手相救;袖手旁观|否|明哲保身,守护,
ev_crisis_1,L3,危机,3,,秘境暴动，%s 被困险境|是|倾宗门之力营救;坐视|否|任其自渡,守护/复仇,
ev_crisis_2,L3,危机,2,,敌对宗门遣使下战书，%s 主战|是|迎战立威;求和|否|保全实力,,
ev_crisis_3,L3,仙人,2,,上古仙人遗蜕现世，%s 有缘得见|是|承仙缘;避让|否|不染因果,问道/避世,
ev_karma_1,L2,宗门,6,,%s 旧友遭难求援，魔道旧识相逼|是|出手相救;袖手|否|明哲保身,守护/复仇,
